역이름,역지역,호선,번호,개방서,개방,개방자,관리번,인허가,영업상,영업,상세영,상세,재개업,소재지,소재��,소재��_1,소재��_2,도로명�,도로��,사업장�,최종수�,데이터�,데이��,업태구�,점포구�,학교ID,학교명,학교급�,설립일�,설립형�,본교분�,운영상�,소재��_3,소재��_4,시도교�,시도��,교육지�,교육��,생성일�,변경일�,데이��_1,id_num,공원수,x,y
신답역,수도권,02호선,"1408",대규모점포,08_25_01_P,"3050000","2003305008207500001","20031023","1",영업/정상,"1",정상영업,,"0221738123",12010.000000000000000,130817.000000000000000,서울특별시 동대문구 용두동 33번지 1호,서울특별시 동대문구 천호대로 133 (용두동),130817.000000000000000,홈플러스(주) 동대문점,20210614113440,U,2021/06/16 02:40:00.000,대형마트,대규모점포,B000001841,서울신답초등학교,초등학교,1972/05/09,공립,본교,운영,서울특별시 동대문구 답십리동 463-13,서울특별시 동대문구 천호대로 177,"7010000",서울특별시교육청,"7021000",서울특별시동부교육지원청,2013/11/29,2022/07/01,2022/09/21,"11",3.000000000000000,127.0430115070,37.5722683945
신답역,수도권,02호선,"1408",대규모점포,08_25_01_P,"3050000","2003305008207500001","20031023","1",영업/정상,"1",정상영업,,"0221738123",12010.000000000000000,130817.000000000000000,서울특별시 동대문구 용두동 33번지 1호,서울특별시 동대문구 천호대로 133 (용두동),130817.000000000000000,홈플러스(주) 동대문점,20210614113440,U,2021/06/16 02:40:00.000,대형마트,대규모점포,B000008085,숭인중학교,중학교,1975/06/01,공립,본교,운영,서울특별시 동대문구 답십리동 463-1,서울특별시 동대문구 천호대로47길 34,"7010000",서울특별시교육청,"7021000",서울특별시동부교육지원청,2013/11/29,2022/07/01,2022/09/21,"12",5.000000000000000,127.0435349000,37.5728684252
선릉역,수도권,02호선,"2786",대규모점포,08_25_01_P,"3220000","2006322012707500001","20061024","1",영업/정상,"1",정상영업,,02-6908-1051,5174.000000000000000,135080.000000000000000,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),135926.000000000000000,(주)이마트 역삼점,20140410175806,I,2018/08/31 23:59:59.000,대형마트,대규모점포,B000008376,진선여자중학교,중학교,1976/05/20,사립,본교,운영,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,"7010000",서울특별시교육청,"7091300",서울특별시강남서초교육지원청,2013/11/29,2022/07/01,2022/09/21,"13",12.000000000000000,127.0482915806,37.5021887349
선릉역,수도권,02호선,"2786",대규모점포,08_25_01_P,"3220000","2006322012707500001","20061024","1",영업/정상,"1",정상영업,,02-6908-1051,5174.000000000000000,135080.000000000000000,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),135926.000000000000000,(주)이마트 역삼점,20140410175806,I,2018/08/31 23:59:59.000,대형마트,대규모점포,B000012070,진선여자고등학교,고등학교,1976/12/28,사립,본교,운영,서울특별시 강남구 역삼동 713,서울특별시 강남구 선릉로85길 27,"7010000",서울특별시교육청,"7091300",서울특별시강남서초교육지원청,2013/11/29,2022/07/01,2022/09/21,"14",12.000000000000000,127.0482912005,37.5021769677
선릉역,수도권,02호선,"2786",대규모점포,08_25_01_P,"3220000","2006322012707500001","20061024","1",영업/정상,"1",정상영업,,02-6908-1051,5174.000000000000000,135080.000000000000000,서울특별시 강남구 역삼동 755번지,서울특별시 강남구 역삼로 310 (역삼동),135926.000000000000000,(주)이마트 역삼점,20140410175806,I,2018/08/31 23:59:59.000,대형마트,대규모점포,B000002297,서울도성초등학교,초등학교,1981/09/30,공립,본교,운영,서울특별시 강남구 역삼동 714,서울특별시 강남구 역삼로 313,"7010000",서울특별시교육청,"7091300",서울특별시강남서초교육지원청,2013/11/29,2022/07/01,2022/09/21,"15",13.000000000000000,127.0488741832,37.5015660902
봉천역,수도권,02호선,"1766",대규모점포,08_25_01_P,"3200000","2011320019107500004","20111026","1",영업/정상,"1",정상영업,,02-3285-3651,414.860000000000014,151826.000000000000000,서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층,서울특별시 관악구 은천로 51 (봉천동),151826.000000000000000,(주)이마트에브리데이 봉천동점,20210514180456,U,2021/05/16 02:40:00.000,대형마트,준대규모점포,B000002342,서울은천초등학교,초등학교,1958/04/01,공립,본교,운영,서울특별시 관악구 봉천동 622-1,서울특별시 관악구 은천로 69,"7010000",서울특별시교육청,"7132000",서울특별시동작관악교육지원청,2013/11/29,2022/07/01,2022/09/21,"16",3.000000000000000,126.9425199003,37.4859243711
봉천역,수도권,02호선,"1766",대규모점포,08_25_01_P,"3200000","2011320019107500004","20111026","1",영업/정상,"1",정상영업,,02-3285-3651,414.860000000000014,151826.000000000000000,서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층,서울특별시 관악구 은천로 51 (봉천동),151826.000000000000000,(주)이마트에브리데이 봉천동점,20210514180456,U,2021/05/16 02:40:00.000,대형마트,준대규모점포,B000002343,서울관악초등학교,초등학교,1971/12/04,공립,본교,운영,서울특별시 관악구 봉천동 920,서울특별시 관악구 청룡4길 49,"7010000",서울특별시교육청,"7132000",서울특별시동작관악교육지원청,2013/11/29,2022/07/01,2022/09/21,"17",6.000000000000000,126.9423431926,37.4822794028
봉천역,수도권,02호선,"1766",대규모점포,08_25_01_P,"3200000","2011320019107500004","20111026","1",영업/정상,"1",정상영업,,02-3285-3651,414.860000000000014,151826.000000000000000,서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층,서울특별시 관악구 은천로 51 (봉천동),151826.000000000000000,(주)이마트에브리데이 봉천동점,20210514180456,U,2021/05/16 02:40:00.000,대형마트,준대규모점포,B000011351,서울관광고등학교,고등학교,1978/03/15,사립,본교,운영,서울특별시 관악구 봉천동 1694,서울특별시 관악구 은천로15길 25,"7010000",서울특별시교육청,"7132000",서울특별시동작관악교육지원청,2013/11/29,2022/07/01,2022/09/21,"18",4.000000000000000,126.9432260718,37.4864493040
봉천역,수도권,02호선,"1766",대규모점포,08_25_01_P,"3200000","2011320019107500004","20111026","1",영업/정상,"1",정상영업,,02-3285-3651,414.860000000000014,151826.000000000000000,서울특별시 관악구 은천동 937번지 6호 동영빌딩 1층,서울특별시 관악구 은천로 51 (봉천동),151826.000000000000000,(주)이마트에브리데이 봉천동점,20210514180456,U,2021/05/16 02:40:00.000,대형마트,준대규모점포,B000008394,봉림중학교,중학교,1989/04/21,공립,본교,운영,서울특별시 관악구 봉천동 1531-38,서울특별시 관악구 장군봉길 72,"7010000",서울특별시교육청,"7132000",서울특별시동작관악교육지원청,2013/11/29,2022/07/01,2022/09/21,"19",7.000000000000000,126.9387692708,37.4825933141
구로디지털단지역,수도권,02호선,"2533",대규모점포,08_25_01_P,"3160000","2007316011707500007","19990727","1",영업/정상,"1",정상영업,,"2009-1001,1051",9927.719999999999345,152050.000000000000000,서울특별시 구로구 구로동 188번지 26호,서울특별시 구로구 디지털로32길 43 (구로동),,(주)이마트 구로점,20200421204857,U,2020/04/23 02:40:00.000,대형마트,대규모점포,B000002008,서울영림초등학교,초등학교,1982/10/04,공립,본교,운영,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14,"7010000",서울특별시교육청,"7041000",서울특별시남부교육지원청,2013/11/29,2022/07/01,2022/09/21,"20",2.000000000000000,126.9015984334,37.4867339015
