역이름,역지역,lat,long,호선
어룡역,수도권,37.7426761348571,127.085184125536,의정부경전철
영등포역,수도권,37.5156764732488,126.90785793823,01호선
신도림역,수도권,37.5089048744726,126.891307981962,01호선
이촌역,수도권,37.5224489050814,126.973325479803,경의선
서빙고역,수도권,37.5195501176669,126.988393978303,경의선
옥수역,수도권,37.5415518643708,127.017380201215,경의선
응봉역,수도권,37.549945423924,127.034470070506,경의선
왕십리역,수도권,37.5612611631671,127.037078472459,경의선
청량리역,수도권,37.5807185198462,127.048499848096,경의선
회기역,수도권,37.5897782042758,127.058039297256,01호선
외대앞역,수도권,37.5962624346633,127.063683442668,01호선
신이문역,수도권,37.6017744461345,127.067379878325,01호선
광운대역,수도권,37.6238337612372,127.061690626596,01호선
월계역,수도권,37.6332595324731,127.058843478444,01호선
녹천역,수도권,37.6446334490218,127.051374087263,01호선
창동역,수도권,37.653320494324,127.047640454654,01호선
선릉역,수도권,37.5044937750958,127.048948120105,분당선
한티역,수도권,37.496274896741,127.052900695072,분당선
도곡역,수도권,37.4909757841746,127.055497705714,분당선
개포동역,수도권,37.4891322712554,127.066102609769,분당선
대모산입구역,수도권,37.4915428672119,127.073070267893,분당선
왕십리역,수도권,37.5612611631671,127.037078472459,분당선
수서역,수도권,37.4852843181606,127.10445168236,분당선
복정역,수도권,37.4707382891863,127.126701394602,분당선
신길역,수도권,37.5167834187845,126.918353640838,01호선
중랑역,수도권,37.5948317972278,127.075662270251,경의선
상봉역,수도권,37.5966989669088,127.085742145107,경의선
망우역,수도권,37.5992888287112,127.092358315354,경의선
양원역,수도권,36.9637824292408,129.091278461531,경의선
구리역,수도권,37.6032563302107,127.143346426709,경의선
도농역,수도권,37.6087654214011,127.161160527083,경의선
양정역,수도권,37.6040117413696,127.194671309249,경의선
덕소역,수도권,37.58688675731,127.208824585309,경의선
도심역,수도권,37.5796354719625,127.222683847152,경의선
팔당역,수도권,37.547355858188,127.243952561032,경의선
운길산역,수도권,37.5546425550604,127.310227081777,경의선
양수역,수도권,37.545959836992,127.329133838785,경의선
신원역,수도권,37.5255748032696,127.37307354466,경의선
국수역,수도권,37.5161727619303,127.399291654314,경의선
아신역,수도권,37.5139077890841,127.443211435249,경의선
오빈역,수도권,37.5061491723811,127.473656769528,경의선
석계역,수도권,37.6150019340823,127.065670206166,01호선
양평역,수도권,37.5255688309654,126.886419299276,경의선
원덕역,수도권,37.4687673200292,127.546558574942,경의선
용문역,수도권,37.4826100652581,127.594371532679,경의선
지평역,수도권,37.4768771035447,127.629666516091,경의선
서울역,수도권,37.5533163107152,126.969738305903,경의선
신촌역,수도권,37.5551954567089,126.936962654548,경의선
효창공원앞역,수도권,37.5392943328525,126.961393582224,경의선
공덕역,수도권,37.5445344743163,126.95143307723,경의선
서강대역,수도권,37.5521312710891,126.93549404719,경의선
홍대입구역,수도권,37.5568635281461,126.923764988566,경의선
수색역,수도권,37.5808084927877,126.895641436132,경의선
화전역,수도권,37.6033060363963,126.868385736287,경의선
강매역,수도권,37.6122868634543,126.844494840384,경의선
행신역,수도권,37.6119666245481,126.834279560012,경의선
능곡역,수도권,37.6190100922675,126.82042239442,경의선
곡산역,수도권,37.6457575386699,126.801797828017,경의선
백마역,수도권,37.6580165981743,126.794602870293,경의선
풍산역,수도권,37.6723273576378,126.786266180087,경의선
일산역,수도권,37.6820093022534,126.77000451545,경의선
탄현역,수도권,37.6939744831672,126.761055632314,경의선
야당역,수도권,37.7126074026376,126.761449458429,경의선
운정역,수도권,37.725592771562,126.767147450181,경의선
금릉역,수도권,37.7513209199973,126.765387482299,경의선
금촌역,수도권,37.7661507617625,126.774601706879,경의선
파주역,수도권,37.8153583754851,126.792691322964,경의선
문산역,수도권,37.8546124470985,126.78737723979,경의선
